UserName,RecommendedHotel,predicted_rating
Anh,Nhà Rosemary Bãi Dài - Căn hộ hướng biển gần sân bay Cam Ranh (Rosemary Home at Bai Dai Beach Nha Trang - Seaview Condo near Int't Cam Ranh Airport),10.724015
Anh,Gran Meliá Nha Trang,10.464129
Anh,Condotel Arena's at Bai Dai Beach Nha Trang,10.411681
Anh,"Căn hộ 42 m² 1 phòng ngủ, 1 phòng tắm riêng ở Vĩnh Hải (Luxury apartment sea view 28 floor Scenia Bay)",10.257087
Anh,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),10.212137
Lan,HANZ Panorama Grand Residencé,11.986499
Lan,HANZ Muong Thanh Vien Trieu Condo Hotel,11.770902
Lan,The Arena Cam Ranh Beach seaside,10.847892
Lan,Chung cư studio 40 m² có 1 phòng tắm riêng ở Vĩnh Hòa (Free Motorbike - 1st Floor Apartment-TV w/ Netflix),10.774547
Lan,Nhà Rosemary Bãi Dài - Căn hộ hướng biển gần sân bay Cam Ranh (Rosemary Home at Bai Dai Beach Nha Trang - Seaview Condo near Int't Cam Ranh Airport),10.602611
Lan,"Căn hộ 100 m² 3 phòng ngủ, 2 phòng tắm riêng ở Lộc Thọ (Maple 3 bedroom apartment)",10.501059
Quân,HANZ Panorama Grand Residencé,11.907399
Quân,HANZ Muong Thanh Vien Trieu Condo Hotel,11.686138
Quân,Gold Coast Hotel Nha Trang,11.519264
Quân,Panorama Center Ocean View,11.16035
Quân,Vinpearl Luxury Nha Trang,11.135419
Quân,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),11.09595
Quân,"Căn hộ 100 m² 3 phòng ngủ, 2 phòng tắm riêng ở Lộc Thọ (Maple 3 bedroom apartment)",10.875529
Hai,Chung cư studio 40 m² có 1 phòng tắm riêng ở Vĩnh Hòa (Free Motorbike - 1st Floor Apartment-TV w/ Netflix),11.956422
Hai,HANZ Panorama Grand Residencé,11.67376
Hai,HANZ Muong Thanh Vien Trieu Condo Hotel,11.4779215
Hai,InterContinental Residences Nha Trang,10.676007
